adoption_id,record_id,date,quantity,book_id
1,1,7/12/2015,545,489
2,1,12/18/2015,138,603
3,1,4/25/2015,158,480
4,1,6/21/2015,362,550
5,1,11/21/2015,116,896
6,1,6/12/2015,612,693
7,1,11/6/2015,282,943
1,2,5/13/2015,476,587
2,2,1/30/2016,59,942
3,2,12/23/2015,68,686
4,2,2/18/2016,314,626
5,2,2/9/2016,111,599
6,2,1/9/2016,251,944
7,2,3/23/2015,213,928
8,2,12/24/2015,356,625
9,2,6/6/2015,639,477
10,2,2/20/2016,527,972
11,2,7/2/2015,108,946
12,2,4/9/2015,687,549
13,2,6/27/2015,231,586
14,2,12/31/2015,282,895
15,2,3/16/2015,246,583
1,3,3/25/2015,494,955
2,3,2/5/2016,362,643
3,3,7/5/2015,167,603
4,3,2/23/2016,202,688
1,4,7/5/2015,412,951
2,4,3/7/2015,144,698
3,4,7/26/2015,640,784
4,4,1/17/2016,451,904
5,4,9/12/2015,371,787
6,4,12/16/2015,119,952
7,4,5/18/2015,104,478
8,4,2/14/2016,189,984
9,4,2/23/2016,597,599
10,4,6/12/2015,259,932
11,4,8/24/2015,519,594
12,4,6/23/2015,500,652
13,4,5/18/2015,368,639
14,4,4/11/2015,308,911
15,4,6/8/2015,521,957
16,4,3/25/2015,72,792
17,4,11/19/2015,276,622
18,4,5/5/2015,250,698
19,4,10/10/2015,51,549
20,4,4/16/2015,481,598
21,4,1/28/2016,123,790
22,4,2/23/2016,665,593
23,4,10/19/2015,231,480
24,4,8/15/2015,650,611
25,4,6/29/2015,189,969
26,4,7/10/2015,180,612
27,4,1/2/2016,506,598
28,4,8/27/2015,265,490
29,4,10/15/2015,535,974
30,4,2/22/2016,552,948
31,4,9/26/2015,602,473
32,4,10/10/2015,637,940
33,4,3/6/2016,471,910
1,5,2/29/2016,462,942
2,5,7/7/2015,139,603
3,5,7/29/2015,205,980
4,5,12/26/2015,694,912
5,5,8/1/2015,396,626
6,5,10/13/2015,273,615
7,5,1/4/2016,536,984
8,5,7/12/2015,52,698
9,5,5/19/2015,420,598
10,5,1/4/2016,631,940
11,5,2/16/2016,324,705
12,5,6/29/2015,546,932
13,5,12/2/2015,281,637
14,5,3/1/2016,687,552
15,5,10/30/2015,447,891
1,6,2/15/2016,445,701
2,6,6/6/2015,632,785
3,6,4/28/2015,503,899
4,6,8/5/2015,519,904
5,6,4/4/2015,292,608
6,6,12/18/2015,552,784
7,6,7/26/2015,158,696
8,6,3/28/2015,407,479
9,6,7/16/2015,182,925
10,6,7/30/2015,261,783
11,6,3/19/2015,146,475
12,6,1/16/2016,630,474
13,6,11/13/2015,232,558
14,6,11/14/2015,664,624
15,6,5/24/2015,310,787
16,6,3/17/2015,168,693
17,6,5/16/2015,476,918
18,6,5/24/2015,250,946
19,6,9/3/2015,641,572
20,6,6/25/2015,190,784
21,6,9/17/2015,292,567
22,6,8/19/2015,420,707
23,6,10/23/2015,570,919
24,6,3/5/2016,640,489
25,6,1/1/2016,505,474
26,6,4/30/2015,210,547
27,6,5/30/2015,649,608
28,6,1/16/2016,196,792
29,6,10/8/2015,677,594
30,6,3/19/2015,53,782
31,6,3/31/2015,383,937
32,6,10/11/2015,377,943
33,6,6/6/2015,619,940
1,7,10/15/2015,33,964
2,7,9/7/2015,429,477
3,7,9/19/2015,643,603
4,7,8/12/2015,55,550
5,7,1/16/2016,318,968
6,7,10/19/2015,650,596
7,7,3/1/2016,50,489
8,7,5/11/2015,92,564
9,7,12/20/2015,113,695
10,7,2/17/2016,546,952
11,7,2/19/2016,231,792
12,7,3/16/2015,604,677
13,7,12/5/2015,356,911
14,7,11/3/2015,153,973
15,7,1/31/2016,569,571
16,7,8/22/2015,640,965
17,7,12/6/2015,83,574
18,7,1/24/2016,435,553
19,7,9/4/2015,325,477
20,7,1/9/2016,217,921
21,7,2/16/2016,73,487
22,7,7/23/2015,644,644
23,7,8/23/2015,426,920
24,7,6/19/2015,514,474
1,8,12/7/2015,694,639
2,8,6/1/2015,560,475
3,8,7/21/2015,90,707
4,8,12/30/2015,490,706
5,8,6/11/2015,460,486
6,8,12/2/2015,398,967
7,8,2/14/2016,83,642
8,8,10/10/2015,582,783
9,8,8/21/2015,577,685
10,8,6/9/2015,435,636
11,8,1/17/2016,447,591
12,8,4/27/2015,646,479
1,9,4/14/2015,226,930
2,9,11/14/2015,30,983
3,9,3/3/2016,493,952
1,10,10/3/2015,141,571
2,10,6/30/2015,68,474
3,10,2/23/2016,547,932
4,10,4/29/2015,550,475
5,10,7/5/2015,444,571
6,10,12/17/2015,656,790
7,10,2/16/2016,210,607
8,10,12/9/2015,690,616
9,10,10/5/2015,450,979
10,10,11/16/2015,149,974
11,10,1/15/2016,114,940
12,10,11/14/2015,347,549
13,10,5/9/2015,537,693
14,10,9/13/2015,517,608
15,10,3/27/2015,176,911
16,10,12/8/2015,530,946
17,10,1/20/2016,382,909
18,10,10/27/2015,127,595
19,10,5/12/2015,437,932
20,10,6/24/2015,58,975
21,10,2/15/2016,611,624
22,10,2/17/2016,659,680
23,10,9/14/2015,202,548
24,10,1/30/2016,224,636
25,10,5/4/2015,310,790
26,10,10/9/2015,47,892
1,11,12/4/2015,598,916
2,11,5/31/2015,381,923
3,11,6/30/2015,309,697
4,11,9/8/2015,560,925
5,11,9/1/2015,274,599
6,11,9/26/2015,456,943
7,11,2/26/2016,335,568
8,11,6/24/2015,286,692
9,11,11/24/2015,433,676
10,11,3/6/2016,644,607
11,11,2/25/2016,34,685
12,11,11/28/2015,150,983
13,11,12/7/2015,272,574
14,11,1/17/2016,437,488
15,11,1/28/2016,692,555
1,12,3/2/2016,263,591
2,12,2/6/2016,65,607
3,12,8/12/2015,380,926
4,12,11/30/2015,552,547
5,12,10/27/2015,92,707
6,12,5/15/2015,39,486
7,12,2/3/2016,657,628
8,12,2/6/2016,84,897
9,12,3/21/2015,163,940
10,12,5/9/2015,76,473
11,12,2/14/2016,76,980
12,12,3/9/2015,90,596
13,12,9/21/2015,545,629
14,12,2/28/2016,72,909
15,12,7/1/2015,609,783
16,12,7/15/2015,156,898
17,12,8/10/2015,417,482
18,12,10/23/2015,503,905
19,12,6/10/2015,118,915
20,12,3/19/2015,405,476
21,12,3/29/2015,563,631
22,12,7/31/2015,369,569
23,12,5/2/2015,449,596
24,12,9/22/2015,283,939
25,12,6/19/2015,374,975
26,12,4/15/2015,217,905
27,12,9/16/2015,609,904
28,12,4/17/2015,159,680
29,12,10/7/2015,111,928
1,13,1/6/2016,337,561
2,13,7/1/2015,88,953
3,13,8/7/2015,340,648
4,13,2/26/2016,403,690
5,13,5/23/2015,43,618
6,13,10/15/2015,233,616
7,13,2/2/2016,45,964
8,13,7/6/2015,411,960
9,13,7/21/2015,591,942
10,13,5/28/2015,304,473
11,13,7/27/2015,167,947
12,13,4/10/2015,43,569
13,13,8/21/2015,521,594
14,13,10/1/2015,619,955
15,13,2/13/2016,322,974
16,13,7/14/2015,687,477
17,13,12/17/2015,627,919
18,13,9/8/2015,342,591
19,13,4/4/2015,655,603
20,13,5/7/2015,66,566
21,13,3/25/2015,111,974
22,13,7/5/2015,526,556
23,13,2/17/2016,285,964
24,13,9/21/2015,296,704
25,13,1/24/2016,143,787
26,13,6/6/2015,627,684
1,14,7/8/2015,160,549
2,14,7/26/2015,205,911
3,14,9/15/2015,96,648
4,14,6/6/2015,582,549
5,14,1/18/2016,446,472
